action,record_type,serial_title,nlm_unique_id,holdings_format,begin_volume,end_volume,begin_year,end_year,issns,currently_received,retention_policy,limited_retention_period,limited_retention_type,embargo_period,has_epub_ahead_of_print,has_supplements,ignore_warnings,last_modified
DELETE,HOLDING,Acta gynecologica Scandinavica,NLM_14540200R,Electronic,,,0,0,,No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Acta gynecologica Scandinavica,NLM_14540200R,Electronic,,,1921,1925,,No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Acta obstetricia et gynecologica Scandinavica,NLM_0370343,Electronic,,,0,0,"0001-6349 (Print), 1600-0412 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,7/17/24
DELETE,RANGE,Acta obstetricia et gynecologica Scandinavica,NLM_0370343,Electronic,,,1997,0,"0001-6349 (Print), 1600-0412 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,7/17/24
DELETE,HOLDING,"Acta oncologica (Stockholm, Sweden)",NLM_8709065,Electronic,,,0,0,"0284-186X (Print), 1651-226X (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,5/3/23
DELETE,RANGE,"Acta oncologica (Stockholm, Sweden)",NLM_8709065,Electronic,36,,1997,0,"0284-186X (Print), 1651-226X (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,5/3/23
DELETE,HOLDING,Acta orthopaedica,NLM_101231512,Electronic,,,0,0,"1745-3674 (Print), 1745-3682 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Acta orthopaedica,NLM_101231512,Electronic,,,2005,0,"1745-3674 (Print), 1745-3682 (Electronic)",Yes,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Acta paediatrica Scandinavica,NLM_0000211,Electronic,,,0,0,0001-656X (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Acta paediatrica Scandinavica,NLM_0000211,Electronic,,,1965,1991,0001-656X (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Acta paediatrica,NLM_0000213,Electronic,,,0,0,0365-1436 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Acta paediatrica,NLM_0000213,Electronic,,,1921,1964,0365-1436 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,"Acta pathologica et microbiologica Scandinavica. Section B, Microbiology",NLM_7508472,Electronic,,,0,0,0105-0656 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,"Acta pathologica et microbiologica Scandinavica. Section B, Microbiology",NLM_7508472,Electronic,83,89,0,0,0105-0656 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,Acta pathologica et microbiologica Scandinavica. Section B: Microbiology and immunology,NLM_7508470,Electronic,,,0,0,0365-5571 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,RANGE,Acta pathologica et microbiologica Scandinavica. Section B: Microbiology and immunology,NLM_7508470,Electronic,78,82,0,0,0365-5571 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
DELETE,HOLDING,"Acta pathologica et microbiologica Scandinavica. Section C, Immunology",NLM_7508469,Electronic,,,0,0,0304-1328 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
